nom;code_postal;longitude;latitude
lhuis;1680;896660;6519862
lilignod;1260;907561;6542444
lochieu;1260;910734;6540330
lompnas;1680;895705;6525386
lompnieu;1260;905164;6544585
loyes;1800;872782;6539140
loyettes;1360;870953;6521313
lurcy;1090;836799;6553780
luthézieu;1260;906975;6536868
magnieu;1300;911308;6523682
maillat;1430;896851;6562089
malafretaz;1340;865406;6582262
mantenay-montlin;1560;859730;6593219
manziat;1570;846097;6585099
marboz;1851;873066;6583586
marchamp;1680;898106;6523241
marignieu;1300;911232;6525902
marlieux;1240;859981;6554344
marsonnas;1340;859224;6583207
martignat;1810;900381;6572204
massieux;1600;841822;6537233
massignieu-de-rives;1300;915308;6520488
matafelon-granges;1580;897889;6577678
meillonnas;1370;881020;6574930
mérignat;1450;887795;6555137
meximieux;1800;870551;6535744
bohas-meyriat-rignat;1250;885275;6561726
mézériat;1660;856433;6572026
mijoux;1170;930562;6589943
mionnay;1390;849624;6535197
misérieux;1600;840893;6543876
moëns;1280;938679;6579143
mogneneins;1140;840509;6560529
mollon;1800;874268;6541404
montagnat;1250;875886;6565891
montagnieu;1470;891824;6525264
montanges;1200;915985;6567182
montceaux;1090;839042;6557163
montcet;1310;863457;6568878
le montellier;1800;860388;6538802
monthieux;1390;849489;6540748
montluel;1120;859070;6529881
montmerle-sur-saône;1090;836774;6554890
montracol;1310;863516;6566658
montrevel-en-bresse;1340;863838;6583330
murs-et-gélignieux;1300;907988;6506901
nantua;1460;902179;6564485
napt;1580;892746;6569735
nattages;1300;915386;6518268
neuville-les-dames;1400;854291;6565306
neuville-sur-ain;1160;883127;6556106
les neyrolles;1130;903025;6562291
niévroz;1120;860679;6527701
nivollet-montgriffon;1230;888103;6545147
ochiaz;1200;914638;6561578
oncieu;1230;891303;6541913
ordonnaz;1510;896375;6528741
ornex;1210;938636;6580253
outriaz;1430;897066;6555429
oyonnax;1100;905661;6575713
ozan;1190;847553;6588467
parcieux;1600;841047;6537215
parves;1300;913754;6520433
passin;1260;909185;6540277
péron;1630;925885;6570875
péronnas;1960;869685;6566826
pérouges;1800;869001;6535701
perrex;1540;852581;6571928
le petit-abergement;1260;904941;6551244
peyriat;1430;894465;6564234
peyzieux-sur-saône;1140;840535;6559419
pirajoux;1270;876749;6589247
pizay;1120;861309;6533272
plagne;1130;910549;6568103
le plantay;1330;860900;6548814
le poizat;1130;908350;6564693
polliat;1310;864078;6574449
pollieu;1350;913560;6525982
poncin;1450;885444;6556176
pont-d'ain;1160;880135;6552684
pont-de-vaux;1190;848186;6594037
pont-de-veyle;1290;844771;6576181
port;1460;898250;6566579
pougny;1550;927716;6563164
pouillat;1250;886907;6583996
prémeyzel;1300;906245;6512398
prémillieu;1110;899334;6533281
pressiat;1370;883062;6583879
prévessin-moëns;1280;937227;6576863
priay;1160;876431;6547021
pugieu;1510;905723;6527937
ramasse;1250;881185;6569380
rancé;1390;844790;6542856
relevant;1990;850681;6555218
replonges;1620;844691;6579511
revonnas;1250;879742;6566004
reyrieux;1600;841021;6538325
reyssouze;1190;847418;6594018
rignat;1250;882893;6563876
rignieux-le-franc;1800;868909;6539032
romanèche;1250;887420;6567347
romans;1400;856747;6559814
rossillon;1510;901806;6528918
ruffieu;1260;906599;6547967
st-alban;1450;889237;6558514
st-andré-de-bâgé;1380;847769;6579585
st-andré-de-corcy;1390;851120;6537455
st-andré-d'huiriat;1290;847985;6570704
st-andré-le-bouchoux;1240;860607;6559915
st-andré-sur-vieux-jonc;1240;859748;6563225
st-bénigne;1190;851257;6594113
st-benoît;1300;900726;6514438
st-bois;1300;904615;6514566
